,proposal_id,casuistic,num_addresses,total_amount_group,total_amount,percentage
0,214,Did not vote,160446,75230643.26138,88411160.596107,85.091794694
1,214,Voted,32500,13180517.334727,88411160.596107,14.908205306
0,344,Did not vote,242506,179656296.134051,187698030.664143,95.715599944
1,344,Voted,15368,8041735.531092,187698030.664143,4.284400589
0,349,Did not vote,233202,179370308.134109,188464269.284914,95.174702778
1,349,Voted,26013,9093961.150805,188464269.284914,4.825297222
0,332,Did not vote,238178,159929511.615105,171146980.618981,93.445710252
1,332,Voted,15643,11217469.003876,171146980.618981,6.554289748
0,366,Voted,27375,7400090.791103,185592870.722426,3.987271042
1,366,Did not vote,239598,178192779.931323,185592870.722426,96.012728958
0,15,Voted,948,3027510.92237,19506887.345056,15.520215341
1,15,Did not vote,8635,16479376.422686,19506887.345056,84.479784659
0,85,Did not vote,31882,62103765.871743,66059208.278337,94.012277002
1,85,Voted,1536,3955442.406594,66059208.278337,5.987722998
0,203,Voted,36040,12541208.8392,92943588.251018,13.493355567
1,203,Did not vote,142709,80402379.411818,92943588.251018,86.506644433
0,234,Did not vote,179289,93506344.363949,103989990.113898,89.918601071
1,234,Voted,22208,10483645.749949,103989990.113898,10.081398929
0,122,Voted,3777,8792585.633401,82561810.000571,10.649700671
1,122,Did not vote,43091,73769224.36717,82561810.000571,89.350299329
